,,,,,,,,,,,,
,,,,,,,,,,,,
Tel. 877.390.5438,,,Home/Flood Map Description,,,,,,,,,
gc@excellohomes.com,,,Footprint of Home,"2,314",Total Sq Footage,"2,314",,,,,,
www.excellohomes.com,,,,,Elevate (DFE) ft.,"Saturday, January 0, 1900",,,,,,
,,,,,Freeboard ft.,#REF!,,,,,,
Elevation Proposal for:,,,,0,Total Elevation ft.,#REF!,,,,,,
#REF!,,,,#REF!,Elevation Type,#REF!,,,,,,
#REF!,,,Relocation Days,#REF!,,,,,,,,
#REF!,,,Draw #1   AMOUNT:,,,"$55,440.73 ",,,,,,
#REF!,,,120 Days of Living Allowance,,,,,,,,,
ITEM #,WORK DESCRIPTION,,,QTY,PRICE/UNIT,PRICE,,,,,,
,PRE-CONSTRUCTION,,,,,,,,,,,
1,"Engineering - Drawings, Inspections, TWIA Submittals, Required Architectural Plans",,,#REF!,,20%,,,,,,
2,Home Inspection - photograph and document pre-existing condition of home,,,#REF!,,100%,,,,,,
3,"Surveys - Elevation Certificate Pre-lift, Post-lift, and Final Elevation Certificate",,,#REF!,,20%,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,SITE PREPARATION,,,,,,,,,,,
6,"Mobilization, Site Prep (includes breaking up and the removal and disposal of concrete), Equipment, Supervision, Labor",,,#REF!,,100%,,,,,,
7,"Remove existing landscaping required for elevation, it is the homeowners obligation to maintain landscaping removed, installation of Silt fence",,,#REF!,,#REF!,,,,,,
8,"Site toilet, dumpster and hauling off debris",,,#REF!,,20%,,,,,,
9,,,,,,,,,,,,
10,Tree Removal (Regular),,,,,0%,,,,,,
11,Tree Removal (Large),,,,,0%,,,,,,
12,Tree Trimming,,,,,0%,,,,,,
,"EXCAVATION, PILES, ELEVATION",,,,,,,,,,,
13,"Tunneling/Excavating (lnft) to faciltate the installation of 8""x8"" concrete pilings",,,289,,0%,,,,,,
14,"Raise, Shore and Align above mentioned residence to satisfy BFE and local free board requirements; according to engineer specifications. Contractor to provide all block, shims, and angle iron, or any other materials required during lift. ",,,#REF!,,#REF!,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
,FOUNDATION,,,,,,,,,,,
19,"Install 8""x8"" concrete pillings to support the existing concrete slab under residence to the point of refusal, where engineer has specified to provide sufficient weight load support.",,,72,,0%,,,,,,
20,"Pour 24""X24"" continuous reinforced concrete footer as per engineer specifications",,,327,,0%,,,,,,
21,"Install 16"" X 16"" pialister block concrete column with four (4) #5 rebar tied into footings and original slab with epoxy for structural support in accordance with engineer specifications.  (columns will be pumped solid with concrete using pump truck to avoid cold joints)",,,29,,0%,,,,,,
22,"Labor and material to install  painted steel beams WF 8"" x 18#/ft. to span areas for interior columns per engineered specifications",,,6,,0%,,,,,,
23,,,,,,,,,,,,
24,Pour concrete slab under raised home per engineered specifications. Price includes pump truck as required. Install three (3) sided CMU block wall with required flood vents.  This includes the required rebar and concrete fill as required by Engineer Specifications.,,,#REF!,,#REF!,,,,,,
,UTILITIES,,,,,,,,,,,
25,"Disconnect and reconnect/repair water, sewer / septic, gas as required by local building agencies",,,#REF!,,#REF!,,,,,,
26," Disconnect, Raise and reconnect A/C system(s) to new elevated height requirements ",,,#REF!,,#REF!,,,,,,
27,Disconnect and reconnect electrical as required by local building agencies,,,#REF!,,#REF!,,,,,,
,"STEPS, LANDINGS, CARPENTRY",,,,,,,,,,,
28,,,,,,,,,,,,
29,Construct 4'X4' landing to meet program requirements (including stairs and handrails)A raise height above 12 feet will require a landing as per code; larger and increased number of support posts. ,,,1,,0%,,,,,,
30,Construct 4'X8' landing to meet program requirements (including stairs and handrails)A raise height above 12 feet will require a landing as per code; larger and increased number of support posts. ,,,1,,0%,,,,,,
31,It is more cost effective to connect egress points with a 4' walkway than construct multiple stairways,,,,,0%,,,,,,
,FINISHES AND LANDSCAPING,,,,,,,,,,,
32,"Equipment, dirt and labor to allow for proper grading as required by local agencies",,,#REF!,,#REF!,,,,,,
33,Pallets of Sod with labor and installation,,,#REF!,,#REF!,,,,,,
34,Detach and reset fence; included in bid price,,,,,0%,,,,,,
35,Extend gutter to ground level; included in bid price ,,,,,0%,,,,,,
36,"Repair existing sprinkler system after completion of elevation, included in bid price",,,,,0%,,,,,,
37,Post site cleanup ,,,#REF!,,#REF!,,,,,,
38,Spray foam insulation  underneath elevated slab (closed cell insulation =Minimum of R-13),,,2314,,0%,,,,,,
39,Repair / replace concrete damaged during elevation (sqft.),,,#REF!,,#REF!,,,,,,
40,Add Wood Handrails to Elevated Porch Area /Deck,,,,,0%,,,,,,
41,Detach breezeway and properly repair roofline and Home,,,,,0%,,,,,,
42,"Warranty, Supervison,Overhead",,,,,20%,,,,,,
,ADA Approved Items,,,,,,,,,,,
43,ADA Personal Lift,,,1,,0%,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Eligible Elevation Costs,,,,,,,,,,,
,Bonding & Insurance,,,,,,,,,,,
,,,,,,,,,,,,
,Draw #1  Amount ,,,,,"$55,440.73",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
